author_id,author_name,coauthor_average_h_index
1678473,Wenjie Pei,3.43
1678591,Massimo Poesio,1.77
1678602,Isao Echizen,2.0
1678641,Volkan Cevher,0.55
1678689,Shengjin Wang,5.0
1678747,Bernd Bohnet,4.25
1678766,Yoshinori Sagisaka,0.67
1678783,Deli Zhao,4.6
1678833,Jakub Piskorski,1.88
1678835,Xuanhua Shi,0.96
1678877,Navendu Jain,3.2
1678892,Noriko Kando,0.0
1678917,Massimo Melucci,3.5
1679133,Olivier Ferret,0.55
1679170,Djamé Seddah,2.85
1679209,Chunyan Miao,3.96
1679323,Dmitriy Bespalov,0.57
1679351,Carrie Epp,0.0
1679617,Chong Teng,0.25
1679704,Yan Liu,1.89
1679749,Chew Lim Tan,3.29
1679754,Walter F. Tichy,0.0
1679784,Fabian Suchanek,2.0
1679867,Katrina Falkner,0.0
1679873,Peter Szolovits,3.57
1679982,Pietro Torasso,1.0
1680075,Nikolaos Pappas,5.67
1680188,Thorsten Joachims,3.0
1680197,Luz Rello,1.0
1680291,Kiem-Hieu Nguyen,1.0
1680292,Philip Resnik,3.93
1680568,Kris Ganjam,3.2
1680593,Alexander Tuzhilin,1.0
1680617,Donald Metzler,2.4
1680761,Wenting Tu,2.75
1680956,Codruta Gîrlea,1.5
1681054,Hervé Jégou,4.25
1681130,Peter Wittenburg,0.0
1681160,Julio Gonzalo,0.57
1681183,Elad Kravi,1.0
1681193,Anna Rumshisky,1.53
1681236,L. Gool,0.75
1681436,Frank Morawietz,1.0
1681502,Yuji Matsumoto,2.08
1681543,Geoffrey Zweig,4.91
1681594,Brian Pinette,1.4
1681657,Surya Nepal,2.33
1681799,Verena Rieser,2.67
1681906,Shao-Lun Huang,0.0
1681921,Bhiksha Raj,1.0
1681995,Ashutosh Saxena,9.0
1682055,Ling Liu,2.0
1682058,Hao Zhang,7.0
1682124,Mehrdad Farajtabar,1.0
1682229,Ernst Althaus,3.5
1682342,Zhe Zhang,0.5
1682349,Vladislavs Dovgalecs,2.11
1682418,Charu Aggarwal,0.25
1682479,William Wang,4.14
1682491,Virgil Pavlu,1.33
1682639,Daniel Deutch,7.8
1682792,Sohrab Ferdowsi,0.0
1682815,Dario Taraborelli,2.71
1682848,Yu Zhang,4.35
1682949,Florian Kerschbaum,3.0
1683070,Noam Koenigstein,0.83
1683203,Robert Schwarzenberg,1.33
1683225,Lucian Vlad Lita,3.0
1683363,Mark-Jan Nederhof,3.0
1683380,Osmar Zaiane,4.1
1683391,Jimmy Huang,6.0
1683396,Yuan Luo,1.0
1683403,Ahmed Abdelali,4.84
1683407,Yijun Mo,1.67
1683412,Pascale Fung,2.65
1683510,Zenglin Xu,1.5
1683540,Boonserm Kijsirikul,0.71
1683562,Preslav Nakov,3.26
1683647,Xiang Chen,1.64
1683685,Abraham Ittycheriah,3.6
1683714,Shane Bergsma,4.4
1683738,Shiming Xiang,0.0
1683878,Yong Wang,6.8
1683978,Annie Foret,0.0
1684012,Luis Gravano,3.5
1684099,Tadahiro Taniguchi,1.0
1684353,Jennifer Chu-Carroll,1.0
1684529,Andreas Stafylopatis,0.0
1684668,Alisa Zhila,5.0
1684677,Gal Elidan,2.62
1684865,Guillaume Bouchard,8.6
1684887,Nate Kushman,10.17
1685008,Wen-Hsiang Lu,0.0
1685063,Nazli Goharian,5.0
1685087,Valerio Pascucci,3.0
1685102,Fosca Giannotti,3.0
1685147,Adriano Veloso,1.0
1685296,Eugene Agichtein,1.77
1685328,Denis Béchet,0.0
1685405,Jasmina Bogojeska,1.67
1685407,Somayeh Sojoudi,0.0
1685538,Tamara Berg,5.7
1685603,Latifur Khan,0.5
1685634,Kenji Imamura,5.5
1685771,Phil Blunsom,3.55
1686063,Vwani Roychowdhury,0.0
1686185,Kiyoshi Sudo,5.0
1686223,Valia Kordoni,0.5
1686239,Johannes Heinecke,1.57
1686269,Nima Mesgarani,0.0
1686309,Lucian Galescu,1.38
1686341,Katja Markert,2.93
1686355,Marcos Gonçalves,0.83
1686448,Gjergji Kasneci,0.0
1686473,Julio Nogima,0.31
1686506,Amir Atiya,1.0
1686538,Stjepan Picek,0.0
1686594,Xiaodong Zhang,4.5
1686678,Longin Latecki,1.0
1686960,Lori Levin,5.85
1687200,Aditya Vashistha,2.5
1687407,Albert Zündorf,0.0
1687465,Mor Naaman,6.0
