researcher_id,researcher_name,db_citation_count,citations_by_year,atip_h_index
10000157,Cuong Xuan Chu,0,{},0
10007273,Qiaolin Xia,23,"{2019: 13, 2020: 4, 2021: 1, 2022: 3, 2023: 1, 2024: 1}",3
10017193,Aiwei Liu,32,"{2023: 8, 2024: 21, 2025: 3}",4
10033622,S. Branavan,0,{},0
10034341,Yixuan Cao,9,{2024: 9},1
10035476,Rongmei Lin,0,{},0
100466830,Zhaojiang Lin,172,"{2019: 1, 2020: 14, 2021: 23, 2022: 42, 2023: 59, 2024: 28, 2025: 5}",8
100468503,Zhengzhong Liu,47,"{2019: 5, 2020: 2, 2021: 7, 2022: 11, 2023: 16, 2024: 4, 2025: 2}",4
100472210,Daichi Haraguchi,0,{},0
100506648,Anshul Nasery,6,"{2022: 2, 2024: 4}",1
100508901,Robert Wolfe,3,{2024: 3},1
100516590,Peihao Zhu,3,"{2023: 2, 2024: 1}",1
100519532,Sathwik Madhusudhan,6,"{2024: 2, 2025: 4}",2
100520099,Heyang Er,93,"{2019: 4, 2020: 14, 2021: 19, 2022: 26, 2023: 22, 2024: 6, 2025: 2}",3
100525940,Daniel McFarland,9,"{2021: 2, 2022: 1, 2023: 4, 2025: 2}",2
100537432,Hao He,3,{2024: 3},1
10054744,Alena Fenogenova,11,"{2021: 1, 2022: 1, 2023: 1, 2024: 4, 2025: 4}",2
100576967,Ying Liu,0,{},0
100612966,M. Valko,0,{},0
100627129,Georgios Pantazopoulos,0,{},0
100653935,Mojtaba Komeili,172,"{2022: 41, 2023: 87, 2024: 40, 2025: 4}",4
100664938,Olga Golovneva,12,"{2023: 8, 2024: 4}",1
100762516,Garrett Tanzer,0,{},0
100781843,Marie-Francine Moens,5,"{2019: 1, 2024: 1, 2025: 3}",1
100784405,Fahime Same,2,{2024: 2},1
100797192,Ana-Maria Cretu,22,"{2019: 2, 2020: 9, 2021: 6, 2022: 3, 2023: 2}",2
10080270,John Makhoul,44,"{2014: 3, 2015: 22, 2016: 11, 2017: 3, 2019: 2, 2022: 1, 2024: 2}",1
