researcher_id,first_name,last_name
~Zhengxin_Zhang1,Zhengxin,Zhang
,Dan,Zhao
~Xupeng_Miao1,Xupeng,Miao
~Gabriele_Oliaro1,Gabriele,Oliaro
~Zhihao_Zhang1,Zhihao,Zhang
~Qing_Li1,Qing,Li
~Yong_Jiang1,Yong,Jiang
~Zhihao_Jia1,Zhihao,Jia
~Hanlei_Zhang1,Hanlei,Zhang
~Hua_Xu1,Hua,Xu
,Fei,Long
~Xin_Wang1,Xin,Wang
~Kai_Gao1,Kai,Gao
~Yafu_Li1,Yafu,Li
~Qintong_Li1,Qintong,Li
~Leyang_Cui1,Leyang,Cui
~Wei_Bi1,Wei,Bi
~Zhilin_Wang1,Zhilin,Wang
~Longyue_Wang1,Longyue,Wang
~Linyi_Yang1,Linyi,Yang
~Shuming_Shi1,Shuming,Shi
~Yue_Zhang1,Yue,Zhang
~Haoran_Li1,Haoran,Li
~Dadi_Guo1,Dadi,Guo
~Li1,Donghao,Li
~Wei_Fan1,Wei,Fan
~Qi_Hu1,Qi,Hu
~Xin_Liu1,Xin,Liu
~Chunkit_Chan1,Chunkit,Chan
,Duanyi,Yao
~Yuan_Yao1,Yuan,Yao
~Yangqiu_Song1,Yangqiu,Song
~Yuchen_Hu1,Yuchen,Hu
~Chen_Chen1,Chen,Chen
,Chao-Han Huck,Yang
~Li1,Ruizhe,Li
~Dong_Zhang1,Dong,Zhang
~Zhehuai_Chen1,Zhehuai,Chen
,Eng Siong,Chng
~Yanzhi_Xu1,Yanzhi,Xu
~Yueying_Hua1,Yueying,Hua
~Shichen_Li1,Shichen,Li
~Zhongqing_Wang1,Zhongqing,Wang
,DaYou,Du
~Yijia_Zhang1,Yijia,Zhang
~Shijie_Cao1,Shijie,Cao
~Jiaqi_Guo1,Jiaqi,Guo
~Ting_Cao1,Ting,Cao
~Xiaowen_Chu1,Xiaowen,Chu
~Ningyi_Xu1,Ningyi,Xu
~Kai_Chen1,Kai,Chen
