researcher_id,first_name,last_name
~Stefanos_Zafeiriou1,Zhengxin,Zhang
~Dan_Jong_Kim1,Dan,Zhao
~Miao_Jia1,Xupeng,Miao
~Ellen_Hidemi_Fukuda1,Gabriele,Oliaro
~Hao_Zhang11,Zhihao,Zhang
~Yuanming_Li1,Qing,Li
~CUICUI_JIANG1,Yong,Jiang
~Miao_Jia1,Zhihao,Jia
~Stefanos_Zafeiriou1,Hanlei,Zhang
~xu_hua1,Hua,Xu
~Caique_Roberto_de_Almeida1,Fei,Long
~Barrie_Wang3,Xin,Wang
~longjun_gao1,Kai,Gao
~Yuanming_Li1,Yafu,Li
~Yuanming_Li1,Qintong,Li
~Lening_Nick_Cui1,Leyang,Cui
~Wei_Bi1,Wei,Bi
~Barrie_Wang3,Zhilin,Wang
~Barrie_Wang3,Longyue,Wang
~Yee_Hong_Yang1,Linyi,Yang
~Bertram_E._Shi1,Shuming,Shi
~Keyue_Zhang1,Yue,Zhang
~Yuanming_Li1,Haoran,Li
~郭可嘉1,Dadi,Guo
~Yuanming_Li1,Donghao,Li
~Jungwei_Fan1,Wei,Fan
~HU_Ruixian2,Qi,Hu
~Bozhao_Liu1,Xin,Liu
~Victor_Wai_Kin_Chan1,Chunkit,Chan
~Danfeng_Yao2,Duanyi,Yao
~Danfeng_Yao2,Yuan,Yao
~Kenny_Song4,Yangqiu,Song
~HU_Ruixian2,Yuchen,Hu
~Chen-Yu_ZHAO1,Chen,Chen
~Ruei-Hau_Hsu1,Chao-Han Huck,Yang
~Yuanming_Li1,Ruizhe,Li
~Mingzhi_Dong5,Dong,Zhang
~Chen-Yu_ZHAO1,Zhehuai,Chen
~Kate_Knill1,Eng Siong,Chng
~Xu_Cao4,Yanzhi,Xu
~xu_hua1,Yueying,Hua
~Yuanming_Li1,Shichen,Li
~Barrie_Wang3,Zhongqing,Wang
~Tao_Du3,DaYou,Du
~Stefanos_Zafeiriou1,Yijia,Zhang
~Xu_Cao4,Shijie,Cao
~郭可嘉1,Jiaqi,Guo
~Xu_Cao4,Ting,Cao
~Thomas_G_Dietterich1,Xiaowen,Chu
~Xu_Cao4,Ningyi,Xu
~Chen-Yu_ZHAO1,Kai,Chen
~Barrie_Wang3,Ye,Wang
~Yuanming_Li1,Yitong,Li
~Yuanming_Li1,Aiping,Li
~hanlinqi2,Han,Yu
~Kenny_Song4,Xin,Song
~Xu_Cao4,Shicheng,Xu
~Liang-bo_Ning1,Liang,Pang
~KU_SU_WA1,Mo,Yu
~Nicole_Meng1,Fandong,Meng
~CynthiaWu1,Huawei,Shen
~Charlie_Tianyue_Cheng1,Xueqi,Cheng
~Tian_Jie1,Jie,Zhou
~HU_Ruixian2,Yong,Hu
