researcher_id,first_name,last_name,openreview_id,google_scholar_id
r_f92f8c62-c29c-5f77-ab26-1e7ed0628fd1,Xuelin,Wang,,
r_ed0bbb5b-5b43-518f-9b4e-789944377294,Yitong,Li,,
r_7d47933f-ad4c-5899-9b8f-b9452bc3769e,Jianfeng,Li,,
r_8bfef674-6ebe-5129-9737-065e5623a6e6,Ali,Payani,,
r_58c12b23-e500-5215-a423-9ac14a31437d,Luyao,Niu,,
r_3350cffd-4be8-5e98-b185-a5ce4268f955,Pietro,Lesci,,
r_984db0bb-2087-5f42-8e9a-d9a32f5abbbf,Wei,Cheng,,
r_8d5f4abc-5928-5ccc-ae56-e6c49152ac34,Honghao,Gui,,
r_d618df2c-0ec3-5401-a78e-580c35212a7f,Yuxin,Wang,,
r_bc09ba95-4e36-510d-b5af-d6ab9391e12e,Zhaochun,Ren,,
r_680d46b4-63c1-5ade-8976-548cff40e2bf,Jing,Su,,
r_cdc8d76e-30af-58b6-948d-07fd5452b798,Eunbi,Choi,,
r_e0d0d5e3-af57-57dc-b980-7eab70654ec4,Hao,Peng,,
r_c32c8f49-de7d-5503-94eb-a85f9ae056c0,Keqin,Bao,,
r_eb9c3b05-914e-565b-a96b-025033d34d39,Priyam,Mehta,,
r_51c4ab8e-1142-5ed6-b962-ee5c3caf483c,Mengxi,Xiao,,
r_5124d2bc-8d0f-5849-83c0-6fc9250e61ea,Yuanxin,Ouyang,,
r_b0b7efc3-e3bf-53cd-a397-0b5d006656b2,Jianbing,Zhang,,
r_dec9491a-40bc-5b94-b7d8-45b67172ab34,Pengyu,Ji,,
r_391e6434-c6a4-5a0f-8c24-4ac67bdfa9c8,Thomas,Müller,,
r_a9e4f070-1e9c-585b-9cc9-e53ed7d1abc1,Lidan,Shou,,
r_47ecf7a1-1b6a-5a11-b06a-d2d8870cc801,Colin,Wang,,
r_fcc8da33-ccb1-562d-bd74-11db24b705e1,Caleb,Ziems,,
r_1390256e-23fc-5762-8388-22d22fd1d3d4,Salman,Khan,,
r_67dc12c2-ef2a-53ad-88d4-522229f2f286,Lingyao,Li,,
r_2609e1c3-52b8-50df-bb3a-16dda9a1dafc,Anna,Korhonen,,
r_178905c7-80d3-56b9-b508-509101fa8b02,Franz,Nowak,,
r_eabe14b8-d516-5701-a601-7fe75fa412fa,Zhendong,Mao,,
r_f45acd96-56e8-5370-9b93-09a0a5cf4e52,Peiyi,Wang,,
r_e3cd72a5-a5fd-5c4d-8405-efe24630902d,Irene,Li,,
r_129671a7-416d-56d3-8708-099200df6d73,Zujie,Wen,,
r_160c95b3-a434-5984-9a98-7ade1b9d2959,Zijun,Yao,,
r_acc8a1ce-3e51-59bd-8653-7cbed8e45a24,Aitor,Soroa,,
r_5b17bc3a-ad2b-5c0d-830d-f8457e148e49,Hongye,Tan,,
r_31c3ec5b-7dd5-56de-9c06-37127e838e4d,Huaibo,Huang,,
r_d183b955-64d0-549f-b950-3c1e5c4ebd24,Xiaobao,Wu,,
r_7a51c003-991b-5937-aa18-80e0fa65cf35,Silin,Gao,,
r_47726c4b-4576-5587-80df-48a1dc327a0d,Haicheng,Sun,,
r_ea650d3b-b8c0-5e90-9079-2f584382a845,Qiushi,Sun,,
r_4c53624d-d401-5ac5-896d-5f37b23f7158,Yujie,Zhong,,
