author_id,author_name,affiliation,pqi_score,anci_score,accel_score,h_index,citations
10000157,Cuong Xuan Chu,Unknown,1.07,0.41,0.0,4,106
10007273,Qiaolin Xia,Unknown,2.78,3.91,0.0,9,467
10017193,Aiwei Liu,Tsinghua University,1.76,1.22,1.8,16,838
10033622,S. Branavan,Unknown,0.66,0.01,0.0,2,9
10034341,Yixuan Cao,"Institute of Computing Technology, Chinese Academy of Sciences",1.75,2.09,2.16,6,132
10035476,Rongmei Lin,Unknown,0.8,0.33,0.0,9,443
100466830,Zhaojiang Lin,Unknown,2.52,7.55,0.07,23,2080
100468503,Zhengzhong Liu,Unknown,2.08,3.3,-0.15,12,554
100472210,Daichi Haraguchi,Unknown,0.31,0.0,0.0,2,25
100506648,Anshul Nasery,Unknown,1.79,1.71,0.71,3,57
100508901,Robert Wolfe,Unknown,2.44,3.5,0.59,9,304
100516590,Peihao Zhu,KAUST,1.03,0.64,0.41,10,1497
100519532,Sathwik Madhusudhan,Unknown,1.69,1.23,2.0,4,70
100520099,Heyang Er,Unknown,3.19,4.37,-0.3,3,574
100525940,Daniel McFarland,Unknown,1.53,1.9,-0.31,39,6042
100537432,Hao He,Unknown,2.01,0.32,1.0,5,145
10054744,Alena Fenogenova,SberDevices,2.22,1.09,0.36,11,441
100576967,Ying Liu,Unknown,2.2,0.82,0.0,10,842
100612966,M. Valko,Unknown,1.59,0.01,0.0,5,53
100627129,Georgios Pantazopoulos,Unknown,1.57,1.83,0.0,21,1340
100653935,Mojtaba Komeili,Unknown,2.44,19.16,2.45,13,1329
100664938,Olga Golovneva,Unknown,2.53,1.57,1.24,6,444
100762516,Garrett Tanzer,Unknown,1.98,0.35,0.0,3,84
100781843,Marie-Francine Moens,KU Leuven,1.25,0.61,0.26,16,1477
100784405,Fahime Same,Unknown,2.02,1.0,0.44,4,40
100797192,Ana-Maria Cretu,Unknown,2.82,4.73,-0.48,2,130
10080270,John Makhoul,Unknown,2.99,14.11,0.44,53,19157
100811091,Jason Lee,New York University,2.98,21.57,-0.49,24,2887
100832735,Ahmed Masry,Koc University,2.2,19.07,3.61,9,1160
100894223,Prashan Wanigasekara,Unknown,1.31,0.1,0.0,3,20
10089460,Vivek Gupta,Unknown,2.64,4.67,0.44,6,193
100896506,Yun Zhu,Unknown,0.88,0.06,0.0,6,240
100917154,Angelo Basile,Unknown,2.24,0.88,0.0,12,466
100967159,Dhruv Gelda,Unknown,1.49,7.21,0.26,6,150
100969823,Masoumeh Aminzadeh,Unknown,1.77,7.43,0.0,7,418
100984698,Yada Pruksachatkun,Unknown,2.09,2.86,-0.15,13,5862
10099514,Zhilin Liao,HUNDSUN,2.83,4.1,-0.21,2,59
100996634,Ying Zhang,Unknown,1.38,0.97,0.52,19,1152
10109293,Seniz Demir,Unknown,2.77,1.47,0.0,15,700
101098891,Serguei Barannikov,Unknown,2.01,1.71,0.26,13,1044
10111751,Tatevik Hakobyan,Unknown,1.54,0.0,0.0,5,185
101161623,Jia Qing Tan,Unknown,2.54,36.51,2.94,2,736
101166098,Jann Weinand,Unknown,1.07,1.2,0.26,21,1119
101180162,Walelign Tewabe Sewunetie,Unknown,0.75,0.24,0.0,3,22
101193275,Tianze Luo,Unknown,2.28,1.0,0.0,4,73
10119770,Zed Sehyr,Unknown,0.38,0.0,0.0,10,473
101210026,Anirudh Ravula,Unknown,2.55,12.84,-0.42,7,2706
101247384,Mahdis Mahdieh,Unknown,2.75,3.76,0.0,3,55
10127337,Vahid Nia,Unknown,1.89,1.57,0.26,14,884
101285939,Tomoya Machide,Unknown,0.8,0.58,0.0,4,71
101333187,Shohei Iida,Unknown,2.09,0.82,0.0,3,35
10135862,Angelo Ziletti,Bayer AG,1.64,0.67,0.0,13,2030
10136905,Cheonbok Park,Unknown,1.32,0.42,0.44,11,974
101371510,Zhexin Zhang,Unknown,1.97,2.89,2.73,10,571
101433524,G. Kranthikiran,Unknown,2.24,11.01,4.0,4,711
10144804,Boda Lin,Unknown,0.63,0.22,0.0,1,2
101486331,Mingyang Wan,Unknown,2.16,0.5,0.0,5,218
101513478,Rida Qadri,Unknown,2.52,1.5,2.0,11,287
101531362,Nick McKenna,University of Edinburgh,2.17,8.12,2.04,4,245
101568984,Zejiang Shen,MIT,1.99,2.09,2.36,13,836
101597616,Ehsan Pari,Unknown,0.66,0.16,0.0,1,3
101654431,Jakob Havtorn,Unknown,2.03,0.14,0.0,7,548
101655391,Lee Xiong,Unknown,2.86,4.69,-0.13,2,1294
101668216,Beomseok Lee,samsung.com,2.34,1.0,0.26,5,73
101694948,Atakan Kara,Koç University,0.8,0.58,0.73,2,11
101721481,Amin Ahmad,Unknown,2.51,16.36,-0.29,2,533
101829183,Wei Zhou,Unknown,2.21,4.88,0.82,66,24789
101841139,Emily Gade,Unknown,2.95,5.06,1.29,8,279
101880623,Nojun Kwak,Unknown,2.21,4.97,1.29,14,485
101904272,Andrea Seveso,Unknown,1.45,0.15,0.0,8,265
10195617,Myrl Marmarelis,Unknown,2.44,1.53,6.0,4,52
101958625,Chryssi Giannitsarou,Unknown,2.14,4.66,-0.34,16,821
10196196,Christine Montgomery,Unknown,2.19,0.29,0.0,10,418
10197529,Janarthanan Rajendran,Unknown,2.76,3.68,-0.21,12,508
102030571,Galina Angelova,Unknown,1.66,2.5,0.0,2,104
102052663,Victoria Ng,Unknown,0.75,0.42,0.0,2,16
102076291,Yuji Sawai,Unknown,1.08,0.34,0.0,1,3
102078849,Seongbum Seo,Unknown,0.74,0.0,0.0,1,2
102129631,Arash Ardakani,Unknown,0.63,1.0,0.0,1,2
10213745,Martha E. Pollack,Unknown,2.91,16.13,0.0,52,12609
102206853,Unknown,Unknown,2.44,0.1,1.0,4,64
10220743,Sumeet Singh,Unknown,2.94,7.84,-0.45,33,5578
102222453,Alon Benhaim,Unknown,1.83,2.71,1.24,9,1568
102229040,Gary Farmaner,Unknown,1.01,0.0,0.0,1,8
