Author,Co-Author
Eric Xing,Amr Ahmed
Amr Ahmed,Alex Smola
Amr Ahmed,Manzil Zaheer
Amr Ahmed,William W. Cohen
Amr Ahmed,Chao-Yuan Wu
Amr Ahmed,Alex Beutel
Amr Ahmed,Shravan Matthur Narayanamurthy
Amr Ahmed,Liangjie Hong (洪亮劼)
Amr Ahmed,Sujith Ravi
Amr Ahmed,Jacob Eisenstein
Amr Ahmed,Le Song
Amr Ahmed,Robert F. Murphy
Amr Ahmed,Jun Zhu
Amr Ahmed,Ramesh Maruthi Nallapati
Amr Ahmed,Bhargav Kanagal
Amr Ahmed,Lluis Garcia Pueyo
Amr Ahmed,Gul Agha
Amr Ahmed,Andrew O. Arnold
Amr Ahmed,Choon Hui Teo
Amr Ahmed,Aaron Li
Amr Ahmed,Kostas Tsioutsiouliklis
Amr Ahmed,Qirong Ho
Amr Ahmed,Mladen Kolar
Amr Ahmed,Mehrdad Farajtabar
Amr Ahmed,NAN DU
Amr Ahmed,Kai Yu
Amr Ahmed,Yihong Gong
Amr Ahmed,Wei Xu
Amr Ahmed,Mu Li
Amr Ahmed,Yuan Wang
Amr Ahmed,Gowtham Kumar
Amr Ahmed,SVN Vishwanathan
Amr Ahmed,Sergiy Matusevych
Amr Ahmed,Eugene J. Shekita
Amr Ahmed,Greg Hanneman
Amr Ahmed,Mengqiu Wang
Amr Ahmed,Markus Weimer
Amr Ahmed,David G. Andersen
Amr Ahmed,Yuchen Zhang
Eric Xing,Michael I. Jordan
Michael I. Jordan,David Blei
Michael I. Jordan,Zoubin Ghahramani
Michael I. Jordan,Peter Bartlett
Michael I. Jordan,Francis Bach
Michael I. Jordan,Mingsheng Long
Michael I. Jordan,Ion Stoica
Michael I. Jordan,Gert Lanckriet
Michael I. Jordan,Robert Jacobs
Michael I. Jordan,David Patterson
Michael I. Jordan,John Duchi
Michael I. Jordan,Philipp Moritz
Michael I. Jordan,Benjamin Recht
Michael I. Jordan,Eric Xing
Michael I. Jordan,Pieter Abbeel
Michael I. Jordan,Tamara Broderick
Michael I. Jordan,XuanLong Nguyen
Michael I. Jordan,Yair Weiss
Michael I. Jordan,Erik B. Sudderth
Michael I. Jordan,Sergey Levine
Michael I. Jordan,Ameet Talwalkar
Michael I. Jordan,Stuart Russell
Michael I. Jordan,Daniel Wolpert
Michael I. Jordan,Yee Whye Teh
Michael I. Jordan,Ling Huang
Michael I. Jordan,Michael Franklin
Michael I. Jordan,Emily B. Fox
Michael I. Jordan,Nello Cristianini
Michael I. Jordan,Alan S. Willsky
Michael I. Jordan,Jon McAuliffe
Michael I. Jordan,Percy Liang
Michael I. Jordan,Jason D. Lee
Michael I. Jordan,Shankar Sastry
Michael I. Jordan,Geoffrey Hinton
Michael I. Jordan,John Schulman
Michael I. Jordan,Alex Aiken
Michael I. Jordan,Guillaume Obozinski
Michael I. Jordan,Robert Nishihara
Michael I. Jordan,Ben Liblit
Michael I. Jordan,Lei Xu
Michael I. Jordan,Lester Mackey
Michael I. Jordan,Ben Taskar
Michael I. Jordan,Ashia C. Wilson
Michael I. Jordan,Peter Bodik
Michael I. Jordan,Thomas L. Griffiths
Michael I. Jordan,Nando de Freitas
Michael I. Jordan,Virginia Smith
Michael I. Jordan,Zhihua Zhang
Michael I. Jordan,Tom Mitchell
Michael I. Jordan,Martin Jaggi
Michael I. Jordan,John Paisley
Michael I. Jordan,William Stafford Noble
Michael I. Jordan,Tim Kraska
Michael I. Jordan,Xinghao Pan
Michael I. Jordan,Wei Xu
Michael I. Jordan,Anthony D. Joseph
Michael I. Jordan,Horia Mania
Michael I. Jordan,Satinder Singh
Michael I. Jordan,Charles Sutton
Michael I. Jordan,Mayur Naik
Michael I. Jordan,Terrence Sejnowski
Michael I. Jordan,Matthew J. Beal
Michael I. Jordan,Simon Lacoste-Julien
Michael I. Jordan,Martin Takáč
Michael I. Jordan,Adam Paul Arkin
Michael I. Jordan,Patrick Flaherty
Michael I. Jordan,Sriram Sankararaman
Michael I. Jordan,Emo Todorov
Michael I. Jordan,Chris HQ Ding （丁宏强）
Michael I. Jordan,Tao Li (李涛)
Michael I. Jordan,Arnaud Doucet
Michael I. Jordan,Alexandre d'Aspremont
Michael I. Jordan,Christopher M. Bishop
Michael I. Jordan,Kenji Fukumizu
Michael I. Jordan,Bruno Sinopoli
Michael I. Jordan,Barbara Engelhardt
Michael I. Jordan,Kannan Ramchandran
Michael I. Jordan,Nina Taft
Michael I. Jordan,Minos Garofalakis
Michael I. Jordan,Kevin Murphy
Michael I. Jordan,Jennifer Dy
Michael I. Jordan,Michael Kearns
Michael I. Jordan,Thomas Schön
Michael I. Jordan,Eran Halperin
Michael I. Jordan,Neil D. Lawrence
Michael I. Jordan,Christophe Andrieu
Michael I. Jordan,Joshua B. Tenenbaum
Michael I. Jordan,Guri Nina Giaever
Michael I. Jordan,David Heckerman
