author,affiliations
"Name(first='Zhengxin', last='Zhang')",Unknown
"Name(first='Dan', last='Zhao')",Peng Cheng Laborotary
"Name(first='Xupeng', last='Miao')",Purdue University
"Name(first='Gabriele', last='Oliaro')",Unknown
"Name(first='Zhihao', last='Zhang')",Unknown; Beijing University of Technology
"Name(first='Qing', last='Li')",Peng Cheng Laboratory
"Name(first='Yong', last='Jiang')",Unknown; Tsinghua University
"Name(first='Zhihao', last='Jia')","School of Computer Science, Carnegie Mellon University"
"Name(first='Hanlei', last='Zhang')",Unknown
"Name(first='Hua', last='Xu')",Tsinghua University
"Name(first='Fei', last='Long')",Unknown
"Name(first='Xin', last='Wang')","University of California, Santa Cruz; Hebei University of Science & Technology; Jilin University"
"Name(first='Kai', last='Gao')",Unknown
"Name(first='Yafu', last='Li')",Westlake University
"Name(first='Qintong', last='Li')",Unknown
"Name(first='Leyang', last='Cui')",Unknown
"Name(first='Wei', last='Bi')",Tencent AI Lab
"Name(first='Zhilin', last='Wang')",Unknown
"Name(first='Longyue', last='Wang')",Unknown
"Name(first='Linyi', last='Yang')",Westlake University
"Name(first='Shuming', last='Shi')",Tencent AI Lab
"Name(first='Yue', last='Zhang')",Westlake University; Alibaba Group
"Name(first='Haoran', last='Li')",Unknown
"Name(first='Dadi', last='Guo')",Peking University
"Name(first='Donghao', last='Li')",Unknown
"Name(first='Wei', last='Fan')",Hong Kong University of Science and Technology
"Name(first='Qi', last='Hu')",Hong Kong University of Science and Technology
"Name(first='Xin', last='Liu')",University of Michigan - Ann Arbor; Unknown; Amazon
"Name(first='Chunkit', last='Chan')",Unknown
"Name(first='Duanyi', last='Yao')",Unknown
"Name(first='Yuan', last='Yao')",The Hong Kong University of Science and Technology
"Name(first='Yangqiu', last='Song')","Department of Computer Science and Engineering, HKUST, Hong Kong SAR, China; The Hong Kong University of Science and Technology; Department of Computer Science and Engineering, HKUST"
"Name(first='Yuchen', last='Hu')",Unknown
"Name(first='Chen', last='Chen')",Unknown; Nanyang Technological University
"Name(first='Chao-Han Huck', last='Yang')",Unknown
"Name(first='Ruizhe', last='Li')",Unknown; University of Aberdeen
"Name(first='Dong', last='Zhang')",Unknown
"Name(first='Zhehuai', last='Chen')",Unknown
"Name(first='Eng Siong', last='Chng')",Unknown
"Name(first='Yanzhi', last='Xu')",Soochow University
"Name(first='Yueying', last='Hua')",Unknown
"Name(first='Shichen', last='Li')",Unknown
"Name(first='Zhongqing', last='Wang')","Soochow University, China"
"Name(first='DaYou', last='Du')",HKUST(GZ)
"Name(first='Yijia', last='Zhang')",Shanghai Jiaotong University
"Name(first='Shijie', last='Cao')",Microsoft Research Asia
"Name(first='Jiaqi', last='Guo')",Microsoft
"Name(first='Ting', last='Cao')",Microsoft Research
"Name(first='Xiaowen', last='Chu')",Hong Kong University of Science and Technology (Guangzhou)
"Name(first='Ningyi', last='Xu')",Shanghai Jiaotong University
"Name(first='Kai', last='Chen')",Shanghai AI Laboratory; Unknown; National University of Defense Technology
"Name(first='Ye', last='Wang')",Unknown; National University of Defense Technology
"Name(first='Yitong', last='Li')","Unknown; Huawei Technologies Co., Ltd."
"Name(first='Aiping', last='Li')",National University of Defense Technology
"Name(first='Han', last='Yu')",National University of Defense Technology
"Name(first='Xin', last='Song')",Unknown
